Year,China,Egypt,India,Pakistan
1995,921.1955609,3308.403626,886.8869959,1630.856182
1996,983.705371,3401.348222,957.1619966,1758.995714
1997,1018.902882,3570.697013,922.3055232,1694.993129
1998,1047.371774,3816.231726,965.1117999,1723.352444
1999,1059.984904,3905.365105,977.8711846,1706.345089
2000,1073.387689,3873.908195,964.7105236,1759.625546
2001,1101.888471,4117.745742,1003.760923,1694.916976
2002,1127.210817,4381.374792,924.054928,1667.129191
2003,1168.203593,4058.133126,990.8288276,1679.049936
2004,1285.72766,3734.874777,993.5602739,1630.411312
2005,1405.439921,3863.825653,1028.718501,1681.25991
2006,1537.889683,3791.668882,1067.370417,1735.591503
2007,1653.634164,3625.11789,1143.963348,1729.591074
2008,1791.257941,3673.110449,1163.756548,1669.982881
2009,1935.57277,3897.785497,1153.682898,1718.835672
2010,2089.42828,4128.687076,1271.968985,1660.520161
2011,2288.469224,4182.752662,1421.344909,1645.885181
2012,2469.255086,4564.459393,1500.545754,1689.585315
2013,2736.201155,4452.450898,1590.680036,1723.828686
2014,3025.667931,4564.130302,1588.730097,1706.132034
2015,3241.874982,5091.541196,1589.77363,1748.03318
2016,3449.515611,5198.077651,1693.49602,1667.479343
2017,3678.32387,5486.454756,1806.096839,1773.855023
2018,3935.345819,5704.036359,1874.97138,1927.109869