Date,Food,Machinery,Transport,Petroleum,Textile,Agri,Metal,Miscellanous,F&I,Other,Total_BOP,Services,Total
2014-10-01,387295,419701,186693,"1,259,304",184311,628010,263210,84917,221180,377740,"3,570,000",697000,"4,267,000"
2014-11-01,364943,415341,106699,"962,670",171726,539123,251048,68482,188797,408765,"3,100,000",623000,"3,723,000"
2014-12-01,370311,505616,99456,"910,642",196079,578707,258939,71207,199695,617739,"3,409,000",689000,"4,098,000"
2015-01-01,325091,486949,152596,"744,242",207775,496143,305922,67778,183443,411946,"3,015,000",715000,"3,730,000"
2015-02-01,336503,475346,149960,"649,581",213116,535902,245516,68519,173009,297565,"2,799,000",641000,"3,440,000"
2015-03-01,333772,477014,200679,"764,083",219607,566065,240542,77500,189123,603860,"3,294,000",745000,"4,039,000"
2015-04-01,390795,467636,135868,"690,050",235985,542666,298660,95205,185619,373756,"3,045,000",752000,"3,797,000"
2015-05-01,379517,505360,257072,"860,354",209408,500861,297597,84609,204094,579316,"3,470,000",703000,"4,173,000"
2015-06-01,376720,558866,145098,"1,025,512",213575,599313,253112,88542,219797,569060,"3,610,000",878000,"4,488,000"
2015-07-01,344517,471267,153441,"995,306",200967,608863,282118,81273,121233,579480,"3,596,000",676000,"4,272,000"
2015-08-01,362048,421763,128006,"898,355",176207,591531,273750,88188,111974,394125,"3,222,000",782000,"4,004,000"
2015-09-01,366316,461142,143307,"819,793",166137,567144,235757,80606,111709,528506,"3,257,000",687000,"3,944,000"
2015-10-01,394956,493224,145677,"810,663",185726,600207,240451,73762,111913,421245,"3,254,000",759000,"4,013,000"
2015-11-01,380081,558804,143848,"538,914",305560,548176,275932,74844,108622,434463,"3,152,000",614000,"3,766,000"
2015-12-01,359352,1.00E+06,150152,"720,922",399765,559139,289458,77782,138903,617312,"4,101,000",855000,"4,956,000"
2016-01-01,403683,640968,143283,"583,417",348591,572528,308398,79764,116324,392691,"3,357,000",672000,"4,029,000"
2016-02-01,359618,556853,152211,"498,576",312387,482963,336330,75593,108950,420419,"3,086,000",582000,"3,668,000"
2016-03-01,396282,632029,171920,"531,985",291741,485979,306747,93231,113155,524239,"3,321,000",724000,"4,045,000"
2016-04-01,385786,566962,155912,"521,042",261000,526306,389976,95361,109128,374782,"3,168,000",848000,"4,016,000"
2016-05-01,415060,625198,211233,"647,915",271399,574679,337333,93545,123586,524224,"3,577,000",1060000,"4,637,000"
2016-06-01,432696,602547,162338,"792,816",235109,597444,386531,85444,137243,869319,"4,027,000",743000,"4,770,000"
2016-07-01,387635,433758,164458,"679,735",227506,591829,277807,77053,108207,387425,"3,119,000",712000,"3,831,000"
2016-08-01,459143,616879,191398,"913,747",247839,604245,268461,101436,136546,649398,"3,916,000",858000,"4,774,000"
2016-09-01,326932,447348,188575,"755,433",204840,481665,207031,79345,103305,537134,"3,125,000",966000,"4,091,000"
2016-10-01,413356,528590,200919,"742,140",205604,571041,224183,93271,116644,619540,"3,482,000",771000,"4,253,000"
2016-11-01,407687,570715,259929,"990,177",250885,601553,300415,99008,138148,597752,"3,939,971",759000,"4,698,971"
2016-12-01,486926,688887,205721,"916,536",243068,529592,284499,99988,141976,768759,"4,082,000",1011000,"5,093,000"
2017-01-01,495725,779168,223582,"986,424",374712,617951,328187,106013,153405,568643,"4,327,000",827000,"5,154,000"
2017-02-01,491424,546142,172964,"784,009",356302,568557,290220,99030,135668,848019,"4,021,000",890000,"4,911,000"
2017-03-01,515879,699061,244116,"1,000,249",402855,610952,391226,116309,151915,519268,"4,348,000",832000,"5,180,000"
2017-04-01,473709,634104,214880,"872,455",327951,603464,390159,112950,141883,584212,"4,072,000",880000,"4,952,000"
2017-05-01,529931,704326,272898,"845,918",501061,684531,383659,109796,156792,707671,"4,583,000",1033000,"5,616,000"
2017-06-01,428662,761244,303841,"1,119,972",246519,657457,327752,101785,170262,1209030,"4,986,000",1037000,"6,023,000"
2017-07-01,553947,749175,319378,"1,063,682",326882,712631,406383,116461,161882,712341,"4,799,000",1011000,"5,810,000"
2017-08-01,451747,780720,221414,"1,029,831",228500,661653,439051,103589,148436,761933,"4,530,000",1047000,"5,577,000"
2017-09-01,469953,708429,256473,"851,620",209179,580372,323374,97501,133422,520521,"3,884,000",990000,"4,874,000"
2017-10-01,427867,760679,267831,"1,117,863",253113,692916,351574,113192,151492,561456,"4,395,000",850000,"5,245,000"
2017-11-01,461790,761849,248433,"1,194,811",273743,719010,345610,109885,155080,554949,"4,515,000",1116000,"5,631,000"
2017-12-01,388992,719592,199373,"1,072,721",300574,617028,353314,100882,144269,688793,"4,297,000",1228000,"5,525,000"
2018-01-01,486794,739757,241177,"1,115,969",488710,690495,429983,113568,170089,793637,"4,930,000",904000,"5,834,000"
2018-02-01,417963,590259,211632,"1,173,514",407443,619211,405818,93390,147250,488019,"4,260,000",913000,"5,173,000"
2018-03-01,429441,755495,261442,"1,227,254",408735,703393,412129,101210,166485,933386,"5,066,000",900000,"5,966,000"
2018-04-01,453301,716956,262478,"1,175,690",432908,722624,436402,109556,169754,705839,"4,846,000",1241000,"6,087,000"
2018-05-01,490238,774379,326973,"1,208,576",419504,860669,404589,103185,178825,665712,"5,075,000",1000000,"6,075,000"
2018-06-01,469926,727674,389919,"1,031,495",341835,734770,453677,93103,178713,1010280,"5,073,964",1077000,"6,150,964"
2018-07-01,446943,618493,267157,"1,803,649",286778,857736,401562,106573,142037,643160,"5,290,015",1218000,"6,508,015"
2018-08-01,419212,505674,201895,"1,379,587",251297,749085,383560,96937,118088,736891,"4,606,049",901000,"5,507,049"
2018-09-01,368385,588362,168899,"947,187",266947,691920,343802,86467,102593,648663,"4,008,040",764000,"4,772,040"
2018-10-01,398771,549084,242732,"1,482,515",319057,804474,343906,94892,125178,569771,"4,680,022",841000,"5,521,022"
2018-11-01,402580,538335,206656,"1,202,180",326343,665498,292603,84265,110832,534370,"4,141,998",870000,"5,011,998"
2018-12-01,434079,572584,182561,"1,241,460",334742,742584,298366,82608,117459,1004443,"4,775,967",1041000,"5,816,967"
2019-01-01,404663,597038,205754,"1,055,474",393771,698476,339963,85738,114219,618332,"4,284,989",849000,"5,133,989"
2019-02-01,350140,504937,156835,"751,323",337714,555064,291303,80181,90953,470412,"3,406,953",741000,"4,147,953"
2019-03-01,358341,521336,186053,"945,217",379678,653309,301066,84848,108492,796651,"4,118,007",829000,"4,947,007"
2019-04-01,411106,583785,172064,"1,058,252",381921,690770,311761,93065,110149,542387,"4,134,963",928000,"5,062,963"
2019-05-01,421758,629953,160300,"984,770",322985,685533,333642,73120,115577,887548,"4,384,031",1164000,"5,548,031"
2019-06-01,334654,558593,164243,"1,077,829",253141,599614,265801,61660,102335,824783,"4,037,982",790000,"4,827,982"
2019-07-01,361095,585456,195622,"987,932",236914,757900,360000,73067,107955,734936,"4,184,969",880000,"5,064,969"
2019-08-01,332412,466467,131206,"979,341",164290,588401,260405,64142,91694,624064,"3,519,035",936000,"4,455,035"
2019-09-01,311843,528878,106845,"918,009",156521,553300,253978,60184,85143,524560,"3,328,974",577000,"3,905,974"
2019-10-01,370197,528414,145732,"867,127",206147,731610,301753,72625,96870,503275,"3,630,008",712000,"4,342,008"
2019-11-01,417551,488112,97201,"866,628",254768,558638,229673,67588,94736,796606,"3,682,030",672000,"4,354,030"
2019-12-01,390022,647283,96212,"714,709",392491,524948,266792,68445,96780,786886,"3,791,008",755000,"4,546,008"
2020-01-01,444425,641903,132722,"796,218",428375,590066,299063,81052,101603,595759,"3,907,979",706000,"4,613,979"
2020-02-01,413963,466740,111440,"934,301",393165,506716,211851,65986,93916,550712,"3,560,959",877000,"4,437,959"
2020-03-01,403686,451112,110948,"648,895",354078,571805,268571,65252,84492,523131,"3,312,985",560000,"3,872,985"
2020-04-01,421951,339009,131489,"721,852",283197,539015,299122,61417,83024,425943,"3,139,972",582000,"3,721,972"
2020-05-01,361540,348386,88460,"418,098",204616,540254,233502,50159,73356,628384,"2,800,042",393000,"3,193,042"
2020-06-01,482446,701212,164707,"395,636",230478,580557,243883,59179,97257,798180,"3,559,021",617000,"4,176,021"
2020-07-01,488641,732608,131403,"555,511",246958,597005,316279,80989,96349,501966,"3,555,011",765000,"4,320,011"
2020-08-01,394173,594405,95945,"745,537",289640,536062,289802,79105,87222,299577,"3,237,024",459000,"3,696,024"
2020-09-01,486908,608550,166536,"775,172",324061,660522,315704,98171,99515,481871,"3,817,981",543000,"4,360,981"